sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Female;52;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;65;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;<=50K
Female;69;Black;Widowed;Secondary education;North America;Government;Other;<=50K
Male;51;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;>50K
Male;73;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Female;53;White;Divorced;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;51;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
Male;54;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;64;White;Married-civ-spouse;Secondary education;North America;Government;Other;<=50K
Male;69;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;58;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;<=50K
Male;53;Black;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;59;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
Male;60;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
Male;55;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Female;58;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
Male;80;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;<=50K
Male;58;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;52;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
Male;54;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
Male;65;White;Married-civ-spouse;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;63;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;58;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;<=50K
Male;57;White;Married-civ-spouse;Higher education;North America;Government;Technical;>50K
Female;51;White;Married-civ-spouse;Secondary education;North America;Non-Government;Other;<=50K
Male;60;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;61;White;Married-civ-spouse;Higher education;North America;Government;Technical;<=50K
Male;58;White;Married-civ-spouse;Higher education;North America;Non-Government;Nontechnical;>50K
Male;51;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;63;White;Married-civ-spouse;Higher education;North America;Non-Government;Other;<=50K
Female;55;White;Divorced;Higher education;North America;Non-Government;Other;<=50K
Male;56;White;Divorced;Secondary education;North America;Non-Government;Technical;<=50K
Female;56;White;Divorced;Secondary education;North America;Non-Government;Other;<=50K
Male;56;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;53;White;Married-civ-spouse;Secondary education;North America;Non-Government;Technical;>50K
Male;58;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Male;55;White;Married-civ-spouse;Higher education;North America;Non-Government;Technical;>50K
Female;59;White;Widowed;Secondary education;North America;Non-Government;Nontechnical;<=50K
Male;54;White;Divorced;Higher education;North America;Non-Government;Technical;>50K
Male;51;White;Divorced;Higher education;North America;Non-Government;Technical;<=50K
